vacc_id,vacc_name,vacc_vocab,disease1,disease2,disease3,disease4,disease5,disease6,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,mechanism6
"40213303","hepatitis A and hepatitis B vaccine","CVX","hepatitis a",,,,"hepatitis b",,,,,,,
"706109","hepatitis A and hepatitis B vaccine, pediatric/adolescent (non-US)","CVX","hepatitis a",,,,"hepatitis b",,,,,,,
"40213296","hepatitis A vaccine, adult dosage","CVX","hepatitis a",,,,,,,,,,,
"40213301","hepatitis A vaccine, pediatric dosage, unspecified formulation","CVX","hepatitis a",,,,,,,,,,,
"40213299","hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule","CVX","hepatitis a",,,,,,,,,,,
"40213300","hepatitis A vaccine, pediatric/adolescent dosage, 3 dose schedule","CVX","hepatitis a",,,,,,,,,,,
"40213302","hepatitis A vaccine, unspecified formulation","CVX","hepatitis a",,,,,,,,,,,
"706105","Hepatitis B vaccine (recombinant), CpG adjuvanted","CVX",,,,,"hepatitis b",,,,,,"hepatitis b recombinant",
"40213305","hepatitis B vaccine, adolescent/high risk infant dosage","CVX",,,,,"hepatitis b",,,,,,,
"40213306","hepatitis B vaccine, adult dosage","CVX",,,,,"hepatitis b",,,,,,,
"40213307","hepatitis B vaccine, dialysis patient dosage","CVX",,,,,"hepatitis b",,,,,,,
"40213304","hepatitis B vaccine, pediatric or pediatric/adolescent dosage","CVX",,,,,"hepatitis b",,,,,,,
"40213308","hepatitis B vaccine, unspecified formulation","CVX",,,,,"hepatitis b",,,,,,,
"40213309","hepatitis C vaccine","CVX",,,,,,"hepatitis c",,,,,,
"40213310","hepatitis E vaccine","CVX",,,,,,"hepatitis e",,,,,,
"40213311","herpes simplex virus, type 2 vaccine","CVX",,,,,,,,,,,,
"40213290","Historical diphtheria and tetanus toxoids and acellular pertussis, poliovirus, Haemophilus b conjugate and hepatitis B (recombinant) vaccine.","CVX","diphtheria","tetanus","pertussis","poliovirus","hepatitis b","haemophilus influenza","diphtheria toxoid","tetanus toxoid","acellular pertussis",,"hepatitis b recombinant","haemophilus influenza conjugate"
"40213321","HPV, unspecified formulation","CVX","human papilomavirus",,,,,,,,,,,
"40213319","human papilloma virus vaccine, bivalent","CVX","human papilomavirus",,,,,,,,,,,
"40213320","human papilloma virus vaccine, quadrivalent","CVX","human papilomavirus",,,,,,,,,,,
"40213322","Human Papillomavirus 9-valent vaccine","CVX","human papilomavirus",,,,,,,,,,,
"40213206","Human rabies vaccine from Chicken fibroblast culture","CVX","rabies",,,,,,,,,,,
"40213205","Human Rabies vaccine from human diploid cell culture","CVX","rabies",,,,,,,,,,,
"40213326","Influenza A monovalent (H5N1), adjuvanted, National stockpile 2013","CVX",,,,,,"influenza",,,,,,
"40213327","influenza nasal, unspecified formulation","CVX",,,,,,"influenza",,,,,,
"40213140","influenza virus vaccine, H5N1, A/Vietnam/1203/2004 (national stockpile)","CVX",,,,,,"influenza",,,,,,
"40213149","influenza virus vaccine, live, attenuated, for intranasal use","CVX",,,,,,"influenza",,,,,,"influenza live"
"40213156","influenza virus vaccine, split virus (incl. purified surface antigen)-retired CODE","CVX",,,,,,"influenza",,,,,,
"40213158","influenza virus vaccine, unspecified formulation","CVX",,,,,,"influenza",,,,,,
"40213159","influenza virus vaccine, whole virus","CVX",,,,,,"influenza",,,,,,
"40213141","influenza, high dose seasonal, preservative-free","CVX",,,,,,"influenza",,,,,,
"724896","influenza, high-dose seasonal, quadrivalent, .7mL dose, preservative free","CVX",,,,,,"influenza",,,,,,
"40213142","Influenza, injectable, Madin Darby Canine Kidney, preservative free","CVX",,,,,,"influenza",,,,,,
"40213143","Influenza, injectable, Madin Darby Canine Kidney, preservative free, quadrivalent","CVX",,,,,,"influenza",,,,,,
"40213144","Influenza, injectable, Madin Darby Canine Kidney, quadrivalent with preservative","CVX",,,,,,"influenza",,,,,,
"40213145","influenza, injectable, quadrivalent, contains preservative","CVX",,,,,,"influenza",,,,,,
"40213146","Influenza, injectable, quadrivalent, preservative free","CVX",,,,,,"influenza",,,,,,
"40213147","Influenza, injectable,quadrivalent, preservative free, pediatric","CVX",,,,,,"influenza",,,,,,
"40213148","influenza, intradermal, quadrivalent, preservative free, injectable","CVX",,,,,,"influenza",,,,,,
"40213150","influenza, live, intranasal, quadrivalent","CVX",,,,,,"influenza",,,,,,"influenza live"
"724902","influenza, seasonal vaccine, quadrivalent, adjuvanted, .5mL dose, preservative free","CVX",,,,,,"influenza",,,,,,
"40213153","Influenza, seasonal, injectable","CVX",,,,,,"influenza",,,,,,
"40213154","Influenza, seasonal, injectable, preservative free","CVX",,,,,,"influenza",,,,,,
"724898","influenza, seasonal, Southern Hemisphere, quadrivalent, 0.5mL dose, no preservative","CVX",,,,,,"influenza",,,,,,
"724899","influenza, seasonal, Southern Hemisphere, quadrivalent, 0.5mL dose, with preservative","CVX",,,,,,"influenza",,,,,,
"724897","influenza, seasonal, Southern Hemisphere, quadrivalent, pediatric 0.25mL dose, preservative free","CVX",,,,,,"influenza",,,,,,
"724893","influenza, Southern Hemisphere, unspecified formulation","CVX",,,,,,"influenza",,,,,,
"40213161","Japanese Encephalitis vaccine for intramuscular administration","CVX",,,,,,"japanese encephalitis",,,,,,
"40213162","Japanese Encephalitis Vaccine SC","CVX",,,,,,"japanese encephalitis",,,,,,
"40213163","Japanese Encephalitis vaccine, unspecified formulation","CVX",,,,,,"japanese encephalitis",,,,,,
"40213164","Junin virus vaccine","CVX",,,,,,,,,,,,
"40213165","leishmaniasis vaccine","CVX",,,,,,,,,,,,
"40213166","leprosy vaccine","CVX",,,,,,,,,,,,
"40213167","Lyme disease vaccine","CVX",,,,,,,,,,,,
"40213169","malaria vaccine","CVX",,,,,,,,,,,,
"40213168","measles and rubella virus vaccine","CVX","measles","rubella",,,,,,,,,,
"40213170","measles virus vaccine","CVX","measles",,,,,,,,,,,
"40213183","measles, mumps and rubella virus vaccine","CVX","measles","rubella","mumps",,,,,,,,,
"40213184","measles, mumps, rubella, and varicella virus vaccine","CVX","measles","rubella","mumps","varicella",,,,,,,,
"40213171","melanoma vaccine","CVX",,,,,,,,,,,,
"706107","meningococcal A polysaccharide vaccine (non-US)","CVX","meningococcal",,,,,,"meningococcal polysaccharide",,,,,
"706108","meningococcal AC polysaccharide vaccine (non-US)","CVX","meningococcal",,,,,,"meningococcal polysaccharide",,,,,
"40213172","meningococcal ACWY vaccine, unspecified formulation","CVX","meningococcal",,,,,,,,,,,
"40213174","meningococcal B vaccine, fully recombinant","CVX","meningococcal",,,,,,"meningococcal recombinant",,,,,
"40213173","meningococcal B vaccine, recombinant, OMV, adjuvanted","CVX","meningococcal",,,,,,"meningococcal recombinant",,,,,
"40213175","meningococcal B, unspecified formulation","CVX","meningococcal",,,,,,,,,,,
"40213176","meningococcal C conjugate vaccine","CVX","meningococcal",,,,,,"meningococcal conjugate",,,,,
"40213177","Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine","CVX","meningococcal",,,,,"haemophilus influenza","meningococcal conjugate",,,,,"haemophilus influenza conjugate"
"40213179","meningococcal oligosaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4O)","CVX","meningococcal",,,,,,"meningococcal oligosaccharide",,,,,
"40213180","meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)","CVX","meningococcal",,,,,,"meningococcal polysaccharide",,,,,
"724901","meningococcal polysaccharide (groups A, C, Y, W-135) tetanus toxoid conjugate vaccine .5mL dose, preservative free","CVX","meningococcal",,,,,,"meningococcal polysaccharide",,,,,
"40213181","meningococcal polysaccharide vaccine (MPSV4)","CVX","meningococcal",,,,,,"meningococcal polysaccharide",,,,,
"40213182","meningococcal vaccine of unknown formulation and unknown serogroups","CVX","meningococcal",,,,,,,,,,,
"40213178","Meningococcal, MCV4, unspecified conjugate formulation(groups A, C, Y and W-135)","CVX","meningococcal",,,,,,"meningococcal conjugate",,,,,
"40213185","mumps virus vaccine","CVX",,,"mumps",,,,,,,,,
"40213261","no vaccine administered","CVX",,,,,,,,,,,,
"40213192","Non-US bivalent oral polio vaccine (types 1 and 3)","CVX",,,,"poliovirus",,,,,,,,
"40213285","non-US diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)","CVX","diphtheria","tetanus","pertussis","poliovirus",,"haemophilus influenza","diphtheria toxoid","tetanus toxoid","acellular pertussis","poliovirus inactivated",,"haemophilus influenza conjugate"
"40213191","Non-US monovalent oral polio vaccine, unspecified formulation","CVX",,,,"poliovirus",,,,,,,,
"40213187","Novel influenza-H1N1-09, all formulations","CVX",,,,,,"influenza",,,,,,
"40213186","Novel influenza-H1N1-09, injectable","CVX",,,,,,"influenza",,,,,,
"40213188","Novel Influenza-H1N1-09, live virus for nasal administration","CVX",,,,,,"influenza",,,,,,"influenza live"
"40213189","Novel influenza-H1N1-09, preservative-free, injectable","CVX",,,,,,"influenza",,,,,,
"40213193","Oral Polio Vaccine, Unspecified formulation","CVX",,,,"poliovirus",,,,,,,,
"40213194","parainfluenza-3 virus vaccine","CVX",,,,,,"influenza",,,,,,
"40213196","pertussis vaccine","CVX",,,"pertussis",,,,,,,,,
"40213197","plague vaccine","CVX","plague",,,,,,,,,,,
"40213195","pneumococcal conjugate vaccine, 10 valent","CVX","pneumococcal",,,,,,"pneumococcal conjugate",,,,,
"40213198","pneumococcal conjugate vaccine, 13 valent","CVX","pneumococcal",,,,,,"pneumococcal conjugate",,,,,
"40213199","pneumococcal conjugate vaccine, 7 valent","CVX","pneumococcal",,,,,,"pneumococcal conjugate",,,,,
"40213200","Pneumococcal Conjugate, unspecified formulation","CVX","pneumococcal",,,,,,"pneumococcal conjugate",,,,,
"40213201","pneumococcal polysaccharide vaccine, 23 valent","CVX","pneumococcal",,,,,,"pneumococcal polysaccharide",,,,,
"40213202","pneumococcal vaccine, unspecified formulation","CVX","pneumococcal",,,,,,,,,,,
"40213160","poliovirus vaccine, inactivated","CVX",,,,"poliovirus",,,,,,"poliovirus inactivated",,
"40213203","poliovirus vaccine, unspecified formulation","CVX",,,,"poliovirus",,,,,,,,
"40213204","Q fever vaccine","CVX",,,,,,,,,,,,
"40213207","rabies vaccine, for intradermal injection","CVX","rabies",,,,,,,,,,,
"40213208","rabies vaccine, for intramuscular injection RETIRED CODE","CVX","rabies",,,,,,,,,,,
"40213209","rabies vaccine, unspecified formulation","CVX","rabies",,,,,,,,,,,
"40213210","rheumatic fever vaccine","CVX",,,,,,,,,,,,
"40213214","Rift Valley fever vaccine","CVX",,,,,,,,,,,,
"40213219","rotavirus vaccine, unspecified formulation","CVX","rotavirus",,,,,,,,,,,
"40213216","rotavirus, live, monovalent vaccine","CVX","rotavirus",,,,,,"rotavirus live",,,,,
"40213217","rotavirus, live, pentavalent vaccine","CVX","rotavirus",,,,,,"rotavirus live",,,,,
"40213218","rotavirus, live, tetravalent vaccine","CVX","rotavirus",,,,,,"rotavirus live",,,,,
"40213224","rubella and mumps virus vaccine","CVX",,"rubella","mumps",,,,,,,,,
"40213223","rubella virus vaccine","CVX",,"rubella",,,,,,,,,,
"724906","SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 100 mcg/0.5mL dose","CVX","covid-19",,,,,,"covid-19 mRNA",,,,,
"724907","SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 30 mcg/0.3mL dose","CVX","covid-19",,,,,,"covid-19 mRNA",,,,,
"724904","SARS-COV-2 (COVID-19) vaccine, UNSPECIFIED","CVX","covid-19",,,,,,,,,,,
"702866","SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-Ad26, preservative free, 0.5 mL","CVX","covid-19",,,,,,"covid-19 vector",,,,,
"724905","SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL","CVX","covid-19",,,,,,"covid-19 vector",,,,,
"40213155","seasonal influenza, intradermal, preservative free","CVX",,,,,,"influenza",,,,,,
"40213157","Seasonal trivalent influenza vaccine, adjuvanted, preservative free","CVX",,,,,,"influenza",,,,,,
"40213152","Seasonal, quadrivalent, recombinant, injectable influenza vaccine, preservative free","CVX",,,,,,"influenza",,,,,,"influenza recomb"
"40213151","Seasonal, trivalent, recombinant, injectable influenza vaccine, preservative free","CVX",,,,,,"influenza",,,,,,"influenza recomb"
"724903","smallpox monkeypox vaccine, live attenuated, preservative free (National Stockpile)","CVX",,,,,,"smallpox",,,,,,
"40213228","tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)","CVX","diphtheria","tetanus",,,,,"diphtheria toxoid","tetanus toxoid",,,,
"40213227","tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)","CVX","diphtheria","tetanus",,,,,"diphtheria toxoid","tetanus toxoid",,,,
"724895","tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use, Lf unspecified","CVX","diphtheria","tetanus",,,,,"diphtheria toxoid","tetanus toxoid",,,,
"40213226","tetanus and diphtheria toxoids, not adsorbed, for adult use","CVX","diphtheria","tetanus",,,,,"diphtheria toxoid","tetanus toxoid",,,,
"40213232","tetanus toxoid, adsorbed","CVX",,"tetanus",,,,,,"tetanus toxoid",,,,
"40213233","tetanus toxoid, not adsorbed","CVX",,"tetanus",,,,,,"tetanus toxoid",,,,
"40213230","tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed","CVX","diphtheria","tetanus","pertussis",,,,"diphtheria toxoid","tetanus toxoid","acellular pertussis",,,
"40213234","tetanus toxoid, unspecified formulation","CVX",,"tetanus",,,,,,"tetanus toxoid",,,,
"40213235","tick-borne encephalitis vaccine","CVX",,,,,,,,,,,,
"40213190","trivalent poliovirus vaccine, live, oral","CVX",,,,"poliovirus",,,,,,"poliovirus live",,
"40213241","tularemia vaccine","CVX",,,,,,,,,,,,
"706106","Typhoid conjugate vaccine (non-US)","CVX","typhoid",,,,,,"typhoid conjugate",,,,,
"40213242","typhoid vaccine, live, oral","CVX","typhoid",,,,,,"typhoid live",,,,,
"40213244","typhoid vaccine, parenteral, acetone-killed, dried (U.S. military)","CVX","typhoid",,,,,,"typhoid acetone-killed",,,,,
"40213243","typhoid vaccine, parenteral, other than acetone-killed, dried","CVX","typhoid",,,,,,"typhoid acetone-killed",,,,,
"40213245","typhoid vaccine, unspecified formulation","CVX","typhoid",,,,,,,,,,,
"40213246","typhoid Vi capsular polysaccharide vaccine","CVX","typhoid",,,,,,"typhoid polysaccharide",,,,,
"40213248","vaccinia (smallpox) vaccine","CVX",,,,,,"smallpox",,,,,,
"40213249","vaccinia (smallpox) vaccine, diluted","CVX",,,,,,"smallpox",,,,,,
"40213251","varicella virus vaccine","CVX",,,,"varicella",,,,,,,,
"40213254","Venezuelan equine encephalitis vaccine, unspecified formulation","CVX",,,,,,"Venezuelan equine encephalitis",,,,,,
"40213252","Venezuelan equine encephalitis, inactivated","CVX",,,,,,"Venezuelan equine encephalitis",,,,,,"Venezuelan equine encephalitis inactivated"
"40213253","Venezuelan equine encephalitis, live, attenuated","CVX",,,,,,"Venezuelan equine encephalitis",,,,,,"Venezuelan equine encephalitis live"
"40213257","yellow fever vaccine","CVX",,,,,,"yellow fever",,,,,,
"40213258","Yellow fever vaccine alternative formulation","CVX",,,,,,"yellow fever",,,,,,
"40213259","Yellow fever vaccine, unspecified formulation","CVX",,,,,,"yellow fever",,,,,,
"706103","zoster vaccine recombinant","CVX",,,,"varicella",,,,,,"varicella recombinant",,
"40213260","zoster vaccine, live","CVX",,,,"varicella",,,,,,"varicella live",,
"706104","zoster vaccine, unspecified formulation","CVX",,,,"varicella",,,,,,,,
